title,type,Episodes,Status,Aired,Premiered,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Score,Rank,Popularity,Members
Xia Gan Yi Dan Shen Jianxin,ONA,12,Finished Airing,"Sep 21, 2018 to Nov 30, 2018",,-,-,-,Game,"Action,Adventure,Comedy,Historical,Martial Arts",17 min. per ep.,PG-13 - Teens 13 or older,7.19,2789,10259,971
Aoharu x Kikanjuu,TV,12,Finished Airing,"Jul 3, 2015 to Sep 18, 2015",Summer 2015,"TBS,DAX Production,chara-ani.com,Sony Music Communications,King Records,NichiNare",Sentai Filmworks,Brain's Base,Manga,"Action,Comedy,Sports,Shounen",24 min. per ep.,PG-13 - Teens 13 or older,7.19,2792,763,"176,226"
Denpa Onna to Seishun Otoko,TV,12,Finished Airing,"Apr 15, 2011 to Jul 1, 2011",Spring 2011,"Starchild Records,TBS","NIS America, Inc.",Shaft,Light novel,"Sci-Fi,Slice of Life,Comedy",24 min. per ep.,PG-13 - Teens 13 or older,7.19,2799,545,"240,653"
Kakumeiki Valvrave,TV,12,Finished Airing,"Apr 12, 2013 to Jun 28, 2013",Spring 2013,"Aniplex,Dentsu,Mainichi Broadcasting System,Movic,Bandai,Bandai Namco Entertainment",Aniplex of America,Sunrise,Original,"Action,Military,Space,Mecha",24 min. per ep.,R - 17+ (violence & profanity),7.19,2810,984,"139,408"
Mahoromatic: Automatic Maiden,TV,12,Finished Airing,"Oct 5, 2001 to Dec 28, 2001",Fall 2001,"TBS,Pioneer LDC","Sentai Filmworks,Geneon Entertainment USA","Gainax,Shaft",Manga,"Comedy,Ecchi,Military,Romance,Sci-Fi",24 min. per ep.,R+ - Mild Nudity,7.19,2813,2097,"52,010"
Gingitsune,TV,12,Finished Airing,"Oct 7, 2013 to Dec 23, 2013",Fall 2013,"TV Tokyo,Lantis,MediaNet,Pony Canyon,Movic,AT-X,KlockWorx,Glovision,Shueisha",Sentai Filmworks,Diomedea,Manga,"Seinen,Slice of Life,Supernatural",24 min. per ep.,PG-13 - Teens 13 or older,7.18,2823,2195,"48,135"
Machine-Doll wa Kizutsukanai,TV,12,Finished Airing,"Oct 7, 2013 to Dec 23, 2013",Fall 2013,"Genco,Media Factory,Kadokawa Shoten,Movic,AT-X,Showgate",Funimation,Lerche,Light novel,"Action,Ecchi,Fantasy,School",23 min. per ep.,R+ - Mild Nudity,7.18,2833,515,"251,504"
Moonlight Mile 1st Season: Lift Off,TV,12,Finished Airing,"Mar 4, 2007 to May 27, 2007",Spring 2007,-,"ADV Films,Funimation",Studio Hibari,Manga,"Adventure,Drama,Sci-Fi,Space",25 min. per ep.,R+ - Mild Nudity,7.18,2837,4937,"8,991"
Ai Yori Aoshi: Enishi,TV,12,Finished Airing,"Oct 13, 2003 to Dec 29, 2003",Fall 2003,"Geneon Universal Entertainment,Rondo Robe,Movic,Cosmic Ray","Funimation,Geneon Entertainment USA",J.C.Staff,Manga,"Comedy,Drama,Harem,Romance,Slice of Life",23 min. per ep.,PG-13 - Teens 13 or older,7.17,2865,2153,"50,136"
Arte,TV,12,Finished Airing,"Apr 4, 2020 to Jun 20, 2020",Spring 2020,"MediaNet,Toei Video,KlockWorx,flying DOG,Nikkatsu,Asmik Ace,BS Fuji,NBCUniversal Entertainment Japan,Tokyo MX,Glovision,North Stars Pictures,RAY,Muse Communication",Funimation,Seven Arcs,Manga,"Drama,Historical,Romance,Seinen,Slice of Life",24 min. per ep.,PG-13 - Teens 13 or older,7.17,2867,1719,"69,710"
Boogiepop wa Warawanai,TV,12,Finished Airing,"Jan 5, 2000 to Mar 22, 2000",Winter 2000,"VAP,d-rights",Nozomi Entertainment,Madhouse,Light novel,"Psychological,Supernatural,Dementia,Mystery,Drama,Horror",24 min. per ep.,R+ - Mild Nudity,7.17,2870,1460,"87,303"
Highschool of the Dead,TV,12,Finished Airing,"Jul 5, 2010 to Sep 20, 2010",Summer 2010,"Geneon Universal Entertainment,AT-X,Showgate",Sentai Filmworks,Madhouse,Manga,"Action,Horror,Supernatural,Ecchi,Shounen",24 min. per ep.,R+ - Mild Nudity,7.17,2882,51,"1,042,967"
Inou-Battle wa Nichijou-kei no Naka de,TV,12,Finished Airing,"Oct 7, 2014 to Dec 23, 2014",Fall 2014,"TV Tokyo,Sotsu,Half H.P Studio,Ultra Super Pictures,DIVE II Entertainment,Avex Pictures",Sentai Filmworks,Trigger,Light novel,"Harem,Slice of Life,Comedy,Supernatural,Romance,School",24 min. per ep.,PG-13 - Teens 13 or older,7.17,2883,406,"302,955"
Junketsu no Maria,TV,12,Finished Airing,"Jan 11, 2015 to Mar 29, 2015",Winter 2015,"Bandai Visual,Lantis,Kodansha,I Will",Funimation,Production I.G,Manga,"Comedy,Historical,Magic,Romance,Fantasy,Seinen",24 min. per ep.,R - 17+ (violence & profanity),7.17,2884,1081,"125,305"
Angolmois: Genkou Kassenki,TV,12,Finished Airing,"Jul 11, 2018 to Sep 26, 2018",Summer 2018,HOTZIPANG,-,NAZ,Manga,"Action,Drama,Historical,Military,Samurai",23 min. per ep.,PG-13 - Teens 13 or older,7.16,2890,2301,"44,529"
Heya Camp△,TV,12,Finished Airing,"Jan 6, 2020 to Mar 23, 2020",Winter 2020,"Sotsu,AT-X,KlockWorx,Houbunsha,MAGES.,BS11,DeNA,FuRyu",-,C-Station,Manga,"Slice of Life,Comedy",3 min. per ep.,PG-13 - Teens 13 or older,7.16,2909,1965,"57,456"
Sekirei,TV,12,Finished Airing,"Jul 2, 2008 to Sep 17, 2008",Summer 2008,"Aniplex,Movic",Funimation,Seven Arcs,Manga,"Action,Comedy,Ecchi,Harem,Super Power",23 min. per ep.,R+ - Mild Nudity,7.16,2928,384,"314,344"
Toaru Kagaku no Accelerator,TV,12,Finished Airing,"Jul 12, 2019 to Sep 27, 2019",Summer 2019,"Square Enix,Movic,AT-X,Warner Bros. Japan,NBCUniversal Entertainment Japan,Kadokawa",Funimation,"J.C.Staff,A.C.G.T.",Manga,"Super Power,Supernatural,Fantasy,School",23 min. per ep.,R - 17+ (violence & profanity),7.16,2932,1030,"132,039"
Tonkatsu DJ Agetarou,TV,12,Finished Airing,"Apr 10, 2016 to Jun 26, 2016",Spring 2016,"YTV,DAX Production,Shueisha,Yomiuri TV Enterprise",-,Studio Deen,Manga,"Music,Comedy,Shounen",9 min. per ep.,PG-13 - Teens 13 or older,7.15,2952,4483,"11,416"
Urara Meirochou,TV,12,Finished Airing,"Jan 6, 2017 to Mar 24, 2017",Winter 2017,"TBS,Magic Capsule,Houbunsha,NBCUniversal Entertainment Japan,Nichion",Sentai Filmworks,J.C.Staff,4-koma manga,"Slice of Life,Comedy,Fantasy,Seinen",24 min. per ep.,PG-13 - Teens 13 or older,7.15,2957,1290,"101,661"
Yoake Mae yori Ruriiro na: Crescent Love,TV,12,Finished Airing,"Oct 4, 2006 to Dec 21, 2006",Fall 2006,-,Sentai Filmworks,Daume,Visual novel,"Comedy,Romance,School,Sci-Fi",23 min. per ep.,PG-13 - Teens 13 or older,7.15,2960,2733,"32,471"
Black Blood Brothers,TV,12,Finished Airing,"Sep 8, 2006 to Nov 24, 2006",Fall 2006,"Toshiba Entertainment,Happinet Pictures",Funimation,Group TAC,Light novel,"Action,Comedy,Fantasy,Shounen,Supernatural,Vampire",25 min. per ep.,R - 17+ (violence & profanity),7.15,2966,1429,"89,431"
GA: Geijutsuka Art Design Class,TV,12,Finished Airing,"Jul 7, 2009 to Sep 22, 2009",Summer 2009,"Houbunsha,Studio Jack",-,AIC Plus+,4-koma manga,"Slice of Life,Comedy,School,Seinen",24 min. per ep.,PG-13 - Teens 13 or older,7.15,2977,3792,"17,031"
Housekishou Richard-shi no Nazo Kantei,TV,12,Finished Airing,"Jan 9, 2020 to Mar 26, 2020",Winter 2020,"Nippon Animation,WOWOW,Sotsu,Movic,AT-X,Studio Mausu,Avex Pictures,Q-Tec,Hakuhodo DY Music & Pictures,BS11,GYAO!,entama",-,Shuka,Novel,"Drama,Mystery,Slice of Life",23 min. per ep.,PG-13 - Teens 13 or older,7.15,2983,2598,"35,715"
Amanchu! Advance,TV,12,Finished Airing,"Apr 7, 2018 to Jun 23, 2018",Spring 2018,"Production I.G,Frontier Works,Shochiku,AT-X,flying DOG,Tokyo MX,Mag Garden",-,J.C.Staff,Manga,"Slice of Life,Comedy,School,Shounen",23 min. per ep.,PG-13 - Teens 13 or older,7.14,2997,3070,"26,271"
MM!,TV,12,Finished Airing,"Oct 2, 2010 to Dec 18, 2010",Fall 2010,"Lantis,Media Factory,AT-X",Sentai Filmworks,Xebec,Light novel,"Harem,Comedy,Ecchi,School",23 min. per ep.,PG-13 - Teens 13 or older,7.14,3015,670,"197,766"
Murenase! Seton Gakuen,TV,12,Finished Airing,"Jan 7, 2020 to Mar 24, 2020",Winter 2020,"Animax,Tokyo MX,Cygames,Legs,Happinet",-,Studio Gokumi,Manga,"Comedy,School",23 min. per ep.,PG-13 - Teens 13 or older,7.14,3018,1224,"108,150"
Ore no Imouto ga Konnani Kawaii Wake ga Nai,TV,12,Finished Airing,"Oct 3, 2010 to Dec 19, 2010",Fall 2010,"Aniplex,Movic,ASCII Media Works,Jumondo",Aniplex of America,AIC Build,Light novel,"Slice of Life,Comedy",24 min. per ep.,PG-13 - Teens 13 or older,7.14,3019,176,"539,359"
Reikenzan: Hoshikuzu-tachi no Utage,TV,12,Finished Airing,"Jan 9, 2016 to Mar 26, 2016",Winter 2016,"Haoliners Animation League,Tencent Animation & Comics",-,Studio Deen,Light novel,"Comedy,Magic,Fantasy",24 min. per ep.,PG-13 - Teens 13 or older,7.14,3021,1671,"73,021"
Watashi ga Motete Dousunda,TV,12,Finished Airing,"Oct 7, 2016 to Dec 23, 2016",Fall 2016,"TBS,Kodansha,DAX Production,Nippon Columbia,RAY","Funimation,Crunchyroll",Brain's Base,Manga,"Harem,Comedy,Romance,School,Shoujo",23 min. per ep.,PG-13 - Teens 13 or older,7.14,3028,505,"255,005"
Oshiete! Galko-chan,TV,12,Finished Airing,"Jan 8, 2016 to Mar 25, 2016",Winter 2016,-,-,feel.,Digital manga,"Slice of Life,Comedy,School",7 min. per ep.,PG-13 - Teens 13 or older,7.13,3034,1075,"126,039"
Ro-Kyu-Bu! SS,TV,12,Finished Airing,"Jul 5, 2013 to Sep 27, 2013",Summer 2013,"AT-X,Warner Bros. Japan,KlockWorx,Studio Blanc,ASCII Media Works",-,"Barnum Studio,Project No.9",Light novel,"Comedy,Ecchi,School,Sports",24 min. per ep.,PG-13 - Teens 13 or older,7.13,3040,2767,"31,811"
Sansha Sanyou,TV,12,Finished Airing,"Apr 11, 2016 to Jun 27, 2016",Spring 2016,"AT-X,DAX Production,Houbunsha,TOHO animation,RAY",Funimation,Doga Kobo,4-koma manga,"Slice of Life,Comedy,School",24 min. per ep.,PG-13 - Teens 13 or older,7.13,3042,2106,"51,598"
Strike the Blood IV,OVA,12,Currently Airing,"Apr 8, 2020 to Jun 30, 2021",,Magic Capsule,-,Connect,Light novel,"Action,Supernatural,Ecchi,Vampire,Fantasy",25 min. per ep.,R+ - Mild Nudity,7.13,3048,2631,"34,764"
Alice to Zouroku,TV,12,Finished Airing,"Apr 2, 2017 to Jun 25, 2017",Spring 2017,"Bandai Visual,Lantis,Tokuma Shoten,Tokyo MX,Hakuhodo DY Music & Pictures,Sony PCL",Funimation,J.C.Staff,Manga,"Adventure,Mystery,Seinen",23 min. per ep.,PG-13 - Teens 13 or older,7.13,3056,1354,"94,732"
Date A Live III,TV,12,Finished Airing,"Jan 11, 2019 to Mar 29, 2019",Winter 2019,"Nippon Columbia,Kadokawa",Funimation,J.C.Staff,Light novel,"Sci-Fi,Harem,Comedy,Romance,Mecha,School",24 min. per ep.,R - 17+ (violence & profanity),7.13,3060,696,"190,844"
Koro-sensei Quest!,ONA,12,Finished Airing,"Dec 23, 2016 to Mar 10, 2017",,-,Funimation,Lerche,Manga,"Comedy,Magic,Shounen",10 min. per ep.,PG-13 - Teens 13 or older,7.13,3072,2689,"33,548"
Mashiro-iro Symphony: The Color of Lovers,TV,12,Finished Airing,"Oct 5, 2011 to Dec 21, 2011",Fall 2011,"Frontier Works,Lantis,Media Factory",Sentai Filmworks,Manglobe,Visual novel,"Harem,Drama,Romance,School",24 min. per ep.,PG-13 - Teens 13 or older,7.13,3076,1086,"124,835"
Gakusen Toshi Asterisk 2nd Season,TV,12,Finished Airing,"Apr 2, 2016 to Jun 18, 2016",Spring 2016,"Aniplex,Animax,Movic,flying DOG,Bandai Namco Entertainment,Asahi Broadcasting",Aniplex of America,A-1 Pictures,Light novel,"Sci-Fi,Harem,Comedy,Supernatural,Romance,Ecchi,Fantasy,School",24 min. per ep.,PG-13 - Teens 13 or older,7.12,3087,431,"289,221"
Kamigami no Asobi,TV,12,Finished Airing,"Apr 6, 2014 to Jun 22, 2014",Spring 2014,"Frontier Works,Broccoli,Movic,Showgate",Sentai Filmworks,Brain's Base,Visual novel,"Harem,Supernatural,Romance,Fantasy,Shoujo",23 min. per ep.,PG-13 - Teens 13 or older,7.12,3092,1209,"110,507"
Kikou Ryohei Mellowlink,OVA,12,Finished Airing,"Nov 21, 1988 to Apr 28, 1989",,VAP,-,Sunrise,Original,"Action,Mecha,Military,Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,7.12,3094,5563,"6,736"
Koi to Senkyo to Chocolate,TV,12,Finished Airing,"Jul 6, 2012 to Sep 28, 2012",Summer 2012,"Aniplex,Lantis,TBS,Magic Capsule",Sentai Filmworks,AIC Build,Visual novel,"Drama,Romance,School",25 min. per ep.,PG-13 - Teens 13 or older,7.12,3096,783,"172,252"
Monster Musume no Iru Nichijou,TV,12,Finished Airing,"Jul 8, 2015 to Sep 23, 2015",Summer 2015,"Genco,Studio Hibari,TOHO animation",Sentai Filmworks,Lerche,Manga,"Harem,Comedy,Romance,Ecchi,Fantasy,Seinen",23 min. per ep.,R+ - Mild Nudity,7.12,3102,207,"492,721"
Muteki Kanban Musume,TV,12,Finished Airing,"Jul 5, 2006 to Sep 20, 2006",Summer 2006,"Geneon Universal Entertainment,Yomiuri Telecasting,Yomiuri Advertising,Toshiba Entertainment",Media Blasters,Telecom Animation Film,Manga,"Action,Comedy,Martial Arts,Parody,Shounen",24 min. per ep.,PG-13 - Teens 13 or older,7.12,3103,3832,"16,532"
ViVid Strike!,TV,12,Finished Airing,"Oct 2, 2016 to Dec 18, 2016",Fall 2016,"KlockWorx,Sony Music Communications,Glovision,King Records",-,Seven Arcs Pictures,Original,"Action,Drama,Magic,Martial Arts",24 min. per ep.,PG-13 - Teens 13 or older,7.12,3115,2105,"51,689"
Sword Art Online Alternative: Gun Gale Online,TV,12,Finished Airing,"Apr 8, 2018 to Jul 1, 2018",Spring 2018,"Aniplex,Egg Firm",Aniplex of America,Studio 3Hz,Light novel,"Action,Fantasy,Game,Military,Sci-Fi",23 min. per ep.,PG-13 - Teens 13 or older,7.11,3129,311,"375,535"
Tesagure! Bukatsumono Encore,TV,12,Finished Airing,"Jan 12, 2014 to Mar 30, 2014",Winter 2014,"VAP,Bouncy,Just Production,JP Room",-,Yaoyorozu,Original,"Parody,School,Slice of Life",11 min. per ep.,PG-13 - Teens 13 or older,7.11,3130,6892,"3,921"
Tokyo Ghoul √A,TV,12,Finished Airing,"Jan 9, 2015 to Mar 27, 2015",Winter 2015,"Marvelous AQL,Shueisha",Funimation,Studio Pierrot,Manga,"Action,Mystery,Horror,Psychological,Supernatural,Drama,Seinen",24 min. per ep.,R - 17+ (violence & profanity),7.11,3132,44,"1,102,011"
Tonari no Kyuuketsuki-san,TV,12,Finished Airing,"Oct 5, 2018 to Dec 21, 2018",Fall 2018,Nippon Columbia,-,"Studio Gokumi,AXsiZ",4-koma manga,"Comedy,Shoujo Ai,Slice of Life,Supernatural,Vampire",23 min. per ep.,PG-13 - Teens 13 or older,7.11,3133,1687,"71,923"
Tu Bian Ying Xiong Leaf,ONA,12,Finished Airing,"Apr 14, 2018 to Jul 6, 2018",,bilibili,-,"Haoliners Animation League,Studio LAN",Original,"Comedy,Super Power",20 min. per ep.,PG-13 - Teens 13 or older,7.11,3134,3419,"21,132"
Uzaki-chan wa Asobitai!,TV,12,Finished Airing,"Jul 10, 2020 to Sep 25, 2020",Summer 2020,-,Funimation,ENGI,Manga,"Slice of Life,Comedy,Romance,Ecchi",23 min. per ep.,PG-13 - Teens 13 or older,7.11,3137,772,"174,126"
Yesterday wo Utatte,TV,12,Finished Airing,"Apr 5, 2020 to Jun 21, 2020",Spring 2020,"TV Asahi,Sotsu,Delfi Sound,Lucent Pictures Entertainment,CyberAgent,AbemaTV,DMM.futureworks",-,Doga Kobo,Manga,"Slice of Life,Drama,Romance,Seinen",23 min. per ep.,PG-13 - Teens 13 or older,7.11,3139,721,"185,532"
Zero kara Hajimeru Mahou no Sho,TV,12,Finished Airing,"Apr 10, 2017 to Jun 26, 2017",Spring 2017,"Sotsu,Lantis,Half H.P Studio,Happinet Pictures,Infinite",Sentai Filmworks,White Fox,Light novel,"Action,Adventure,Magic,Fantasy",24 min. per ep.,PG-13 - Teens 13 or older,7.11,3141,692,"191,012"
Ani ni Tsukeru Kusuri wa Nai! 4,ONA,12,Finished Airing,"Aug 5, 2020 to Oct 14, 2020",,-,-,"Fanworks,Imagineer",Web manga,"Slice of Life,Comedy,School",3 min. per ep.,PG-13 - Teens 13 or older,7.11,3144,5009,"8,645"
Lostorage Conflated WIXOSS,TV,12,Finished Airing,"Apr 7, 2018 to Jun 23, 2018",Spring 2018,-,-,J.C.Staff,Card game,"Game,Psychological",23 min. per ep.,R - 17+ (violence & profanity),7.11,3163,3208,"24,123"
Mekakucity Actors,TV,12,Finished Airing,"Apr 13, 2014 to Jun 29, 2014",Spring 2014,"Aniplex,1st PLACE,Tokyo MX,BS11",Aniplex of America,Shaft,Music,"Sci-Fi,Comedy,Super Power,Supernatural,Romance",23 min. per ep.,PG-13 - Teens 13 or older,7.1,3186,329,"356,944"
Sekai Seifuku: Bouryaku no Zvezda,TV,12,Finished Airing,"Jan 12, 2014 to Mar 30, 2014",Winter 2014,"Aniplex,Dentsu,flying DOG,Notes,Atelier Musa,Ichijinsha",Aniplex of America,A-1 Pictures,Original,"Action,Comedy,Fantasy",24 min. per ep.,PG-13 - Teens 13 or older,7.1,3198,1162,"116,053"
Sora no Manimani,TV,12,Finished Airing,"Jul 7, 2009 to Sep 22, 2009",Summer 2009,"Sony Pictures Entertainment,Marvelous,Lantis,Pony Canyon,AT-X,Delfi Sound",-,Studio Comet,Manga,"Slice of Life,Comedy,Romance,School,Seinen",23 min. per ep.,PG-13 - Teens 13 or older,7.1,3199,2522,"37,558"
Shakunetsu no Takkyuu Musume,TV,12,Finished Airing,"Oct 4, 2016 to Dec 20, 2016",Fall 2016,"TV Tokyo,Sotsu,AT-X,KlockWorx,Memory-Tech,Studio Mausu,DIVE II Entertainment,Avex Pictures,Children's Playground Entertainment,BS Japan,FuRyu",-,Kinema Citrus,Web manga,Sports,24 min. per ep.,PG-13 - Teens 13 or older,7.09,3212,2644,"34,456"
Tsugumomo,TV,12,Finished Airing,"Apr 2, 2017 to Jun 18, 2017",Spring 2017,"Animax,Toei Video,Pony Canyon,Studio NOIX,Hakuhodo DY Music & Pictures,Futabasha,Hakuhodo,Kakao Japan,My Theater D.D.","Funimation,Crunchyroll",Zero-G,Manga,"Action,Comedy,Ecchi,School,Seinen,Supernatural",24 min. per ep.,R+ - Mild Nudity,7.09,3216,1108,"122,624"
Witch Craft Works,TV,12,Finished Airing,"Jan 5, 2014 to Mar 23, 2014",Winter 2014,"Bandai Visual,Lantis,Kodansha,Movic,I Will",-,J.C.Staff,Manga,"Action,Fantasy,Magic,Seinen,Supernatural",23 min. per ep.,PG-13 - Teens 13 or older,7.09,3219,591,"222,696"
Yuragi-sou no Yuuna-san,TV,12,Finished Airing,"Jul 14, 2018 to Sep 29, 2018",Summer 2018,"Aniplex,Shueisha,BS11",Aniplex of America,Xebec,Manga,"Comedy,Ecchi,Harem,Romance,Shounen,Supernatural",23 min. per ep.,R+ - Mild Nudity,7.09,3221,827,"163,767"
Yuri Kuma Arashi,TV,12,Finished Airing,"Jan 6, 2015 to Mar 31, 2015",Winter 2015,"Frontier Works,Media Factory,Mainichi Broadcasting System,Movic,Gentosha Comics",Funimation,Silver Link.,Original,"Psychological,Drama,Fantasy,School,Seinen,Shoujo Ai",24 min. per ep.,R - 17+ (violence & profanity),7.09,3223,1541,"81,629"
Haiyore! Nyaruko-san,TV,12,Finished Airing,"Apr 10, 2012 to Jun 26, 2012",Spring 2012,"TV Tokyo,Avex Entertainment,Sotsu,KlockWorx,Cospa,SoftBank Creative,Studio Mausu,Bulls Eye","NIS America, Inc.",Xebec,Light novel,"Sci-Fi,Comedy,Parody",24 min. per ep.,PG-13 - Teens 13 or older,7.09,3239,471,"270,270"
Kuutei Dragons,ONA,12,Finished Airing,9-Jan-20,,"Kodansha,Fuji TV,Bandai,Nexon,BS Fuji,TOHO animation,Hakuhodo DY Media Partners,Fuji Creative,Bandai Spirits",-,Polygon Pictures,Manga,"Adventure,Fantasy,Seinen",23 min. per ep.,PG-13 - Teens 13 or older,7.09,3248,3044,"26,733"
Masuda Kousuke Gekijou Gag Manga Biyori 3,TV,12,Finished Airing,"Mar 10, 2008 to Jun 2, 2008",Spring 2008,"Bandai Visual,Kids Station,DAX Production,Shueisha",-,Studio Deen,Manga,Comedy,5 min. per ep.,PG-13 - Teens 13 or older,7.09,3254,8159,"2,367"
Medaka Box,TV,12,Finished Airing,"Apr 5, 2012 to Jun 21, 2012",Spring 2012,"TV Tokyo,Lantis,Media Factory,Hakoniwa Academy Student Council",Sentai Filmworks,"Gainax,Asahi Production",Manga,"Action,Comedy,Ecchi,Martial Arts,School,Shounen,Super Power",24 min. per ep.,PG-13 - Teens 13 or older,7.09,3255,678,"194,930"
A3! Season Spring & Summer,TV,12,Finished Airing,"Jan 14, 2020 to Jun 23, 2020",Winter 2020,"Pony Canyon,Liber Entertainment",Funimation,"P.A. Works,Studio 3Hz",Game,"Slice of Life,Drama",23 min. per ep.,PG-13 - Teens 13 or older,7.08,3258,4006,"15,329"
H2O: Footprints in the Sand,TV,12,Finished Airing,"Jan 4, 2008 to Mar 21, 2008",Winter 2008,"NTT Docomo,Studio Jack",Kadokawa Pictures USA,Zexcs,Visual novel,"Harem,Romance,School",24 min. per ep.,PG-13 - Teens 13 or older,7.08,3271,1503,"84,226"
Kemurikusa (TV),TV,12,Finished Airing,"Jan 9, 2019 to Mar 27, 2019",Winter 2019,"flying DOG,Tokyo MX",-,Yaoyorozu,Original,"Fantasy,Sci-Fi",23 min. per ep.,PG-13 - Teens 13 or older,7.08,3276,3336,"22,203"
Makai Ouji: Devils and Realist,TV,12,Finished Airing,"Jul 8, 2013 to Sep 23, 2013",Summer 2013,"TV Tokyo,Sotsu",Sentai Filmworks,Doga Kobo,Manga,"Mystery,Comedy,Historical,Demons,Supernatural,Fantasy,School,Josei",24 min. per ep.,PG-13 - Teens 13 or older,7.08,3283,1379,"93,092"
Otome wa Boku ni Koishiteru,TV,12,Finished Airing,"Oct 8, 2006 to Dec 24, 2006",Fall 2006,"Starchild Records,Dream Force,GANSIS",Media Blasters,feel.,Visual novel,"Comedy,Drama,Romance,School",24 min. per ep.,PG-13 - Teens 13 or older,7.07,3313,2023,"54,664"
Seiyou Kottou Yougashiten: Antique,TV,12,Finished Airing,"Jul 4, 2008 to Sep 19, 2008",Summer 2008,"Fuji TV,Sony Music Entertainment",Nozomi Entertainment,"Nippon Animation,SynergySP,Shirogumi",Manga,"Comedy,Shoujo,Shounen Ai",22 min. per ep.,PG-13 - Teens 13 or older,7.07,3319,2834,"30,471"
Sirius,TV,12,Finished Airing,"Jul 12, 2018 to Sep 27, 2018",Summer 2018,"Sotsu,Infinite",Netflix,P.A. Works,Original,"Action,Historical,Supernatural,Vampire",23 min. per ep.,R - 17+ (violence & profanity),7.07,3322,905,"150,289"
Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,TV,12,Finished Airing,"Jul 9, 2013 to Sep 24, 2013",Summer 2013,"TV Tokyo,Media Factory,MediaNet,AT-X,DAX Production,Sony Music Communications,Bushiroad,Good Smile Company,NichiNare",Sentai Filmworks,Silver Link.,Web manga,"Slice of Life,Comedy,School",24 min. per ep.,PG-13 - Teens 13 or older,7.07,3330,214,"483,167"
Asatte no Houkou.,TV,12,Finished Airing,"Oct 6, 2006 to Dec 22, 2006",Fall 2006,"Bandai Visual,Lantis,TBS,Mag Garden",Sentai Filmworks,J.C.Staff,Manga,"Supernatural,Drama",25 min. per ep.,PG-13 - Teens 13 or older,7.07,3334,3382,"21,540"
Binan Koukou Chikyuu Boueibu LOVE! LOVE!,TV,12,Finished Airing,"Jul 8, 2016 to Sep 23, 2016",Summer 2016,"Sotsu,Pony Canyon",Ponycan USA,Studio Comet,Original,"Slice of Life,Comedy,Parody,Magic,School",24 min. per ep.,PG-13 - Teens 13 or older,7.07,3336,3263,"23,295"
Dance in the Vampire Bund,TV,12,Finished Airing,"Jan 7, 2010 to Apr 1, 2010",Winter 2010,"Genco,Media Factory,Rakuonsha,AT-X,flying DOG",Funimation,Shaft,Manga,"Action,Supernatural,Vampire",24 min. per ep.,R+ - Mild Nudity,7.07,3342,726,"183,823"
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,TV,12,Finished Airing,"Apr 15, 2017 to Jul 1, 2017",Spring 2017,"Genco,Movic,Warner Bros. Japan,KlockWorx,SoftBank Creative,MAGES.,Hakuhodo DY Music & Pictures,FuRyu,Imagine",Sentai Filmworks,J.C.Staff,Light novel,"Action,Adventure,Fantasy",25 min. per ep.,PG-13 - Teens 13 or older,7.07,3349,443,"282,936"
Joker Game,TV,12,Finished Airing,"Apr 5, 2016 to Jun 21, 2016",Spring 2016,"Frontier Works,Kadokawa Shoten,Movic,AT-X,Sony Music Communications,Hakuhodo DY Music & Pictures,Sammy","Funimation,Crunchyroll",Production I.G,Novel,"Military,Historical,Drama",23 min. per ep.,R - 17+ (violence & profanity),7.07,3360,776,"173,070"
Hayate no Gotoku! Cuties,TV,12,Finished Airing,"Apr 9, 2013 to Jul 2, 2013",Spring 2013,TV Tokyo,Sentai Filmworks,Manglobe,Manga,"Comedy,Harem,Parody,Romance,Shounen",24 min. per ep.,PG-13 - Teens 13 or older,7.06,3385,2572,"36,306"
Keijo!!!!!!!!,TV,12,Finished Airing,"Oct 6, 2016 to Dec 22, 2016",Fall 2016,"Sotsu,Lantis,Warner Bros. Japan,KlockWorx,Medicos Entertainment,Shogakukan,NichiNare,Radio Osaka",Funimation,Xebec,Manga,"Action,Sports,Ecchi,Shounen",23 min. per ep.,PG-13 - Teens 13 or older,7.06,3389,457,"275,369"
Kokkoku,TV,12,Finished Airing,"Jan 8, 2018 to Mar 26, 2018",Winter 2018,Twin Engine,Sentai Filmworks,Geno Studio,Manga,"Psychological,Supernatural,Drama,Mystery,Seinen",23 min. per ep.,R - 17+ (violence & profanity),7.06,3391,1010,"135,012"
Maria†Holic,TV,12,Finished Airing,"Jan 4, 2009 to Mar 22, 2009",Winter 2009,"Frontier Works,Genco,Media Factory,AT-X,Omnibus Japan",Sentai Filmworks,Shaft,Manga,"Comedy,Parody,School,Shoujo Ai",24 min. per ep.,PG-13 - Teens 13 or older,7.06,3393,948,"143,802"
Show By Rock!!,TV,12,Finished Airing,"Apr 5, 2015 to Jun 21, 2015",Spring 2015,"Shochiku,Pony Canyon,Sanrio,Tokyo MX,Studio GOONEYS,Docomo Anime Store,Sammy,FuRyu",Funimation,Bones,Game,"Comedy,Music",24 min. per ep.,PG-13 - Teens 13 or older,7.05,3409,1833,"62,804"
