title,type,Episodes,Status,Aired,Premiered,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Score,Rank,Popularity,Members
Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo,TV,12,Finished Airing,"Jul 31, 2012 to Nov 16, 2012",Summer 2012,"Pastel,AIR AGENCY",-,AIC Frontier,Original,"Comedy,Magic",5 min. per ep.,PG-13 - Teens 13 or older,5.27,9911,6424,"4,658"
Omae wa Mada Gunma wo Shiranai,TV,12,Finished Airing,"Apr 2, 2018 to Jun 18, 2018",Spring 2018,TOHO animation,-,Asahi Production,Web manga,"Comedy,School",3 min. per ep.,PG-13 - Teens 13 or older,5.25,9938,4423,"11,700"
Dogeza de Tanondemita,TV,12,Currently Airing,"Oct 14, 2020 to ?",Fall 2020,"DAX Production,DMM Music",-,DMM pictures,Web manga,"Comedy,Ecchi,Fantasy",3 min. per ep.,None,5.2,10017,4486,"11,399"
Bikini Warriors,TV,12,Finished Airing,"Jul 8, 2015 to Sep 23, 2015",Summer 2015,"Hobby Japan,Studio Mausu",Funimation,feel.,Other,"Comedy,Ecchi,Fantasy,Parody",4 min. per ep.,R+ - Mild Nudity,5.19,10039,1799,"64,651"
Hentatsu (TV),TV,12,Finished Airing,"Jan 4, 2020 to Mar 21, 2020",Winter 2020,-,-,Yaoyorozu,Original,"Adventure,Mystery",1 min. per ep.,G - All Ages,5.16,10079,7071,"3,694"
The Reflection,TV,12,Finished Airing,"Jul 22, 2017 to Oct 7, 2017",Summer 2017,"Bandai Visual,NHK,81 Produce,Haoliners Animation League,China Animation Characters,BIGFACE,NHN PlayArt,Ima Group,Crunchyroll SC Anime Fund",Funimation,Studio Deen,Original,"Action,Super Power",25 min. per ep.,PG-13 - Teens 13 or older,5.15,10097,3045,"26,562"
Knights of the Zodiac: Saint Seiya,ONA,12,Finished Airing,"Jul 19, 2019 to Jan 23, 2020",,Netflix,-,Toei Animation,Manga,"Sci-Fi,Adventure,Fantasy,Shounen",24 min. per ep.,G - All Ages,5.15,10108,4348,"12,286"
Pastel Memories,TV,12,Finished Airing,"Jan 8, 2019 to Mar 26, 2019",Winter 2019,"MAGES.,FuRyu",Sentai Filmworks,Project No.9,Game,"Action,Sci-Fi,Adventure",24 min. per ep.,PG-13 - Teens 13 or older,5.13,10126,3922,"15,752"
Kirin no Otenki Mama-san,Special,12,Finished Airing,"Jun 26, 1964 to Oct 6, 1984",,TBS,-,-,Other,Fantasy,15 sec. per ep.,G - All Ages,5.12,10153,12941,318
Funny Pets,TV,12,Finished Airing,"Jan 11, 2006 to Mar 29, 2006",Winter 2006,KBS,-,-,Unknown,Comedy,6 min. per ep.,PG-13 - Teens 13 or older,5.11,10164,10844,739
Rail Romanesque,TV,12,Currently Airing,"Oct 3, 2020 to ?",Fall 2020,-,-,Saetta,Visual novel,"Sci-Fi,Harem,Slice of Life",5 min. per ep.,None,5.09,10184,4086,"14,116"
Saishuu Shiken Kujira,ONA,12,Finished Airing,"Aug 25, 2007 to Nov 10, 2007",,Starchild Records,-,Zexcs,Visual novel,"Comedy,Ecchi,Mystery,School,Supernatural",5 min. per ep.,PG-13 - Teens 13 or older,5.09,10186,6496,"4,545"
Dia Horizon (Kabu),TV,12,Finished Airing,"Oct 3, 2017 to Dec 19, 2017",Fall 2017,Square Enix,-,Fanworks,Original,"Action,Adventure,Magic,Fantasy",3 min. per ep.,PG-13 - Teens 13 or older,5.09,10194,6253,"4,971"
Tenka Hyakken: Meiji-kan e Youkoso!,TV,12,Finished Airing,"Oct 13, 2019 to Dec 29, 2019",Fall 2019,-,-,LIDENFILMS,Game,"Action,Adventure,Historical,Supernatural,Martial Arts,Fantasy",3 min. per ep.,None,5.07,10212,5716,"6,290"
Kaito x Ansa,TV,12,Finished Airing,"Jul 12, 2017 to Sep 27, 2017",Summer 2017,Pony Canyon,-,Tengu Kobo,Original,Game,7 min. per ep.,PG-13 - Teens 13 or older,5.07,10221,7238,"3,455"
